JENIS,,,,,
2014,2015,2016,2017,2018,2019*
PEMBANGKIT,,,,,
"PLTA 5.0 48,59","5.068,5 9","5.343,59","5.343,59","5.3 99,59","5.558,52"
"PLTB 1,46","1,46","1,46","1,46","143,51","154,31"
"PLTBg 28,80","54,72","64,16","100,62","108,62","110,62"
"PLTBm 1.3 59,87","1.671,2 9","1.703,29","1.740,54","1.7 58,54","1.758,54"
"PLTBn 0,00","0,0 0","0,00","0,00","0,00","5,00"
"PLTM 111,26","148,71","211,40","240,55","267,79","311,14"
"PLTMH  76,95","90,1 5","95,87","103,76","1 04,76","106,36"
"PLTP 1.4 03,30","1.438,3 0","1.533,30","1.808,30","1.9 48,30","2.130,70"
"PLTS  22,74","33,3 6","43,12","50,90","60,19","126,24"
"PLTS Atap 0,00","0,00","0,00","0,00","0,00","19,57"
"PLTS Hybrid 0,00","3,5 0","3,50","3,50","3,50","3,50"
PLTS Hybrid,,,,,
"(Surya - Angin) 0,08","0,08","0,08","0,08","0,08","0,08"
"PLTSa  14,00","15,6 5","15,65","15,65","15,65","15,65"
"Total 10.081,05","10.540,81","11.031,41","11.425,95","11.828,53","10.300,23"
